param,pearson_r,slope,intercept,rmse
invtemp,0.20390715911366,0.0541943158041357,3.5804851667211,0.481220978505204
sticky,0.903126707082244,0.92552667835517,-0.0344188868428962,2.41468503231245
prior_sd,0.535815056329803,0.562324250555276,10.6511306688279,24.2980804948704
prior_mean1,0.679225010505808,0.769143432302336,11.2786579481093,45.9807879572031
prior_mean2,0.71547258215694,0.763404131684382,1.23540111936174,47.3243374594034
prior_mean3,0.734291930180802,0.932968350619551,5.40715462333495,49.1764242467484
