param,pearson_r,slope,intercept,rmse
invtemp,0.278198914130724,0.0794571304040954,3.27762646492509,0.502836266138861
lr_pos,0.853818411704922,0.946184812145555,0.0755204921968512,0.15936990817961
lr_neg,0.904063264685882,1.01451372353268,0.0375043751248238,0.14124943980594
sticky,0.927076818534087,1.21686718096329,0.420658948094003,2.66320338359125
