param,pearson_r,slope,intercept,rmse
invtemp,0.30664720194285,0.0913535277296656,3.38267164910761,0.530476101069503
sticky,0.869978126012566,0.967948385945925,-0.0759914124819152,3.18685258842773
prior_sd,0.443027229469496,0.474069730574614,12.2618966552282,25.0771581664186
prior_mean1,0.73938964778713,0.781030966059321,-3.1545845876535,43.8531811432936
prior_mean2,0.664931856025606,0.612258398923289,1.9763456175544,40.4170029987009
prior_mean3,0.558220412031951,0.662111759036059,1.50328582617934,57.0633819506303
